,Product,Date Range,Market Price
1476,Blastoise ex - 184/165,8/3 to 8/5,$0.00
1477,Blastoise ex - 184/165,8/6 to 8/8,$0.00
1478,Blastoise ex - 184/165,8/9 to 8/11,$0.00
1479,Blastoise ex - 184/165,8/12 to 8/14,$0.00
1480,Blastoise ex - 184/165,8/15 to 8/17,$0.00
1481,Blastoise ex - 184/165,8/18 to 8/20,$0.00
1482,Blastoise ex - 184/165,8/21 to 8/23,$0.00
1483,Blastoise ex - 184/165,8/24 to 8/26,$0.00
1484,Blastoise ex - 184/165,8/27 to 8/29,$0.00
1485,Blastoise ex - 184/165,8/30 to 9/1,$0.00
1486,Blastoise ex - 184/165,9/2 to 9/4,$0.00
1487,Blastoise ex - 184/165,9/5 to 9/7,$0.00
1488,Blastoise ex - 184/165,9/8 to 9/10,$0.00
1489,Blastoise ex - 184/165,9/11 to 9/13,$0.00
1490,Blastoise ex - 184/165,9/14 to 9/16,$0.00
1491,Blastoise ex - 184/165,9/17 to 9/19,$0.00
1492,Blastoise ex - 184/165,9/20 to 9/22,$15.80
1493,Blastoise ex - 184/165,9/23 to 9/25,$13.54
1494,Blastoise ex - 184/165,9/26 to 9/28,$14.44
1495,Blastoise ex - 184/165,9/29 to 10/1,$15.07
1496,Blastoise ex - 184/165,10/2 to 10/4,$15.16
1497,Blastoise ex - 184/165,10/5 to 10/7,$14.41
1498,Blastoise ex - 184/165,10/8 to 10/10,$15.86
1499,Blastoise ex - 184/165,10/11 to 10/13,$16.67
1500,Blastoise ex - 200/165,7/16 to 7/18,$0.00
1501,Blastoise ex - 200/165,7/19 to 7/21,$0.00
1502,Blastoise ex - 200/165,7/22 to 7/24,$0.00
1503,Blastoise ex - 200/165,7/25 to 7/27,$0.00
1504,Blastoise ex - 200/165,7/28 to 7/30,$0.00
1505,Blastoise ex - 200/165,7/31 to 8/2,$0.00
1506,Blastoise ex - 200/165,8/3 to 8/5,$0.00
1507,Blastoise ex - 200/165,8/6 to 8/8,$0.00
1508,Blastoise ex - 200/165,8/9 to 8/11,$0.00
1509,Blastoise ex - 200/165,8/12 to 8/14,$0.00
1510,Blastoise ex - 200/165,8/15 to 8/17,$0.00
1511,Blastoise ex - 200/165,8/18 to 8/20,$0.00
1512,Blastoise ex - 200/165,8/21 to 8/23,$0.00
1513,Blastoise ex - 200/165,8/24 to 8/26,$0.00
1514,Blastoise ex - 200/165,8/27 to 8/29,$0.00
1515,Blastoise ex - 200/165,8/30 to 9/1,$0.00
1516,Blastoise ex - 200/165,9/2 to 9/4,$0.00
1517,Blastoise ex - 200/165,9/5 to 9/7,$0.00
1518,Blastoise ex - 200/165,9/8 to 9/10,$0.00
1519,Blastoise ex - 200/165,9/11 to 9/13,$0.00
1520,Blastoise ex - 200/165,9/14 to 9/16,$0.00
1521,Blastoise ex - 200/165,9/17 to 9/19,$0.00
1522,Blastoise ex - 200/165,9/20 to 9/22,$38.00
1523,Blastoise ex - 200/165,9/23 to 9/25,$51.11
1524,Blastoise ex - 200/165,9/26 to 9/28,$50.44
1525,Blastoise ex - 200/165,9/29 to 10/1,$50.59
1526,Blastoise ex - 200/165,10/2 to 10/4,$46.38
1527,Blastoise ex - 200/165,10/5 to 10/7,$43.20
1528,Blastoise ex - 200/165,10/8 to 10/10,$52.25
1529,Blastoise ex - 200/165,10/11 to 10/13,$54.60
1530,Bulbasaur - 001/165,7/16 to 7/18,$0.00
1531,Bulbasaur - 001/165,7/16 to 7/18,$0.00
1532,Bulbasaur - 001/165,7/19 to 7/21,$0.00
1533,Bulbasaur - 001/165,7/19 to 7/21,$0.00
1534,Bulbasaur - 001/165,7/22 to 7/24,$0.00
1535,Bulbasaur - 001/165,7/22 to 7/24,$0.00
1536,Bulbasaur - 001/165,7/25 to 7/27,$0.00
1537,Bulbasaur - 001/165,7/25 to 7/27,$0.00
1538,Bulbasaur - 001/165,7/28 to 7/30,$0.00
1539,Bulbasaur - 001/165,7/28 to 7/30,$0.00
1540,Bulbasaur - 001/165,7/31 to 8/2,$0.00
1541,Bulbasaur - 001/165,7/31 to 8/2,$0.00
1542,Bulbasaur - 001/165,8/3 to 8/5,$0.00
1543,Bulbasaur - 001/165,8/3 to 8/5,$0.00
1544,Bulbasaur - 001/165,8/6 to 8/8,$0.00
1545,Bulbasaur - 001/165,8/6 to 8/8,$0.00
1546,Bulbasaur - 001/165,8/9 to 8/11,$0.00
1547,Bulbasaur - 001/165,8/9 to 8/11,$0.00
1548,Bulbasaur - 001/165,8/12 to 8/14,$0.00
1549,Bulbasaur - 001/165,8/12 to 8/14,$0.00
1550,Bulbasaur - 001/165,8/15 to 8/17,$0.00
1551,Bulbasaur - 001/165,8/15 to 8/17,$0.00
1552,Bulbasaur - 001/165,8/18 to 8/20,$0.00
1553,Bulbasaur - 001/165,8/18 to 8/20,$0.00
1554,Bulbasaur - 001/165,8/21 to 8/23,$0.00
1555,Bulbasaur - 001/165,8/21 to 8/23,$0.00
1556,Bulbasaur - 001/165,8/24 to 8/26,$0.00
1557,Bulbasaur - 001/165,8/24 to 8/26,$0.00
1558,Bulbasaur - 001/165,8/27 to 8/29,$0.00
1559,Bulbasaur - 001/165,8/27 to 8/29,$0.00
1560,Bulbasaur - 001/165,8/30 to 9/1,$0.00
1561,Bulbasaur - 001/165,8/30 to 9/1,$0.00
1562,Bulbasaur - 001/165,9/2 to 9/4,$0.00
1563,Bulbasaur - 001/165,9/2 to 9/4,$0.00
1564,Bulbasaur - 001/165,9/5 to 9/7,$0.00
1565,Bulbasaur - 001/165,9/5 to 9/7,$0.00
1566,Bulbasaur - 001/165,9/8 to 9/10,$0.00
1567,Bulbasaur - 001/165,9/8 to 9/10,$0.00
1568,Bulbasaur - 001/165,9/11 to 9/13,$0.00
1569,Bulbasaur - 001/165,9/11 to 9/13,$0.00
1570,Bulbasaur - 001/165,9/14 to 9/16,$0.00
1571,Bulbasaur - 001/165,9/14 to 9/16,$0.00
1572,Bulbasaur - 001/165,9/17 to 9/19,$1.00
1573,Bulbasaur - 001/165,9/17 to 9/19,$0.50
1574,Bulbasaur - 001/165,9/20 to 9/22,$0.39
1575,Bulbasaur - 001/165,9/20 to 9/22,$0.37
1576,Bulbasaur - 001/165,9/23 to 9/25,$0.14
1577,Bulbasaur - 001/165,9/23 to 9/25,$0.41
1578,Bulbasaur - 001/165,9/26 to 9/28,$0.14
1579,Bulbasaur - 001/165,9/26 to 9/28,$0.28
1580,Bulbasaur - 001/165,9/29 to 10/1,$0.14
1581,Bulbasaur - 001/165,9/29 to 10/1,$0.31
1582,Bulbasaur - 001/165,10/2 to 10/4,$0.11
1583,Bulbasaur - 001/165,10/2 to 10/4,$0.45
1584,Bulbasaur - 001/165,10/5 to 10/7,$0.07
1585,Bulbasaur - 001/165,10/5 to 10/7,$0.35
1586,Bulbasaur - 001/165,10/8 to 10/10,$0.07
1587,Bulbasaur - 001/165,10/8 to 10/10,$0.32
1588,Bulbasaur - 001/165,10/11 to 10/13,$0.05
1589,Bulbasaur - 001/165,10/11 to 10/13,$0.29
1590,Bulbasaur - 166/165,7/16 to 7/18,$0.00
1591,Bulbasaur - 166/165,7/19 to 7/21,$0.00
1592,Bulbasaur - 166/165,7/22 to 7/24,$0.00
1593,Bulbasaur - 166/165,7/25 to 7/27,$0.00
1594,Bulbasaur - 166/165,7/28 to 7/30,$0.00
1595,Bulbasaur - 166/165,7/31 to 8/2,$0.00
1596,Bulbasaur - 166/165,8/3 to 8/5,$0.00
1597,Bulbasaur - 166/165,8/6 to 8/8,$0.00
1598,Bulbasaur - 166/165,8/9 to 8/11,$0.00
1599,Bulbasaur - 166/165,8/12 to 8/14,$0.00
1600,Bulbasaur - 166/165,8/15 to 8/17,$0.00
1601,Bulbasaur - 166/165,8/18 to 8/20,$0.00
1602,Bulbasaur - 166/165,8/21 to 8/23,$0.00
1603,Bulbasaur - 166/165,8/24 to 8/26,$0.00
1604,Bulbasaur - 166/165,8/27 to 8/29,$0.00
1605,Bulbasaur - 166/165,8/30 to 9/1,$0.00
1606,Bulbasaur - 166/165,9/2 to 9/4,$0.00
1607,Bulbasaur - 166/165,9/5 to 9/7,$0.00
1608,Bulbasaur - 166/165,9/8 to 9/10,$0.00
1609,Bulbasaur - 166/165,9/11 to 9/13,$0.00
1610,Bulbasaur - 166/165,9/14 to 9/16,$0.00
1611,Bulbasaur - 166/165,9/17 to 9/19,$19.98
1612,Bulbasaur - 166/165,9/20 to 9/22,$8.93
1613,Bulbasaur - 166/165,9/23 to 9/25,$20.24
1614,Bulbasaur - 166/165,9/26 to 9/28,$18.89
1615,Bulbasaur - 166/165,9/29 to 10/1,$17.49
1616,Bulbasaur - 166/165,10/2 to 10/4,$15.00
1617,Bulbasaur - 166/165,10/5 to 10/7,$15.15
1618,Bulbasaur - 166/165,10/8 to 10/10,$17.67
1619,Bulbasaur - 166/165,10/11 to 10/13,$21.59
1620,Butterfree,7/16 to 7/18,$0.00
1621,Butterfree,7/16 to 7/18,$0.00
1622,Butterfree,7/19 to 7/21,$0.00
1623,Butterfree,7/19 to 7/21,$0.00
1624,Butterfree,7/22 to 7/24,$0.00
1625,Butterfree,7/22 to 7/24,$0.00
1626,Butterfree,7/25 to 7/27,$0.00
1627,Butterfree,7/25 to 7/27,$0.00
1628,Butterfree,7/28 to 7/30,$0.00
1629,Butterfree,7/28 to 7/30,$0.00
1630,Butterfree,7/31 to 8/2,$0.00
1631,Butterfree,7/31 to 8/2,$0.00
1632,Butterfree,8/3 to 8/5,$0.00
1633,Butterfree,8/3 to 8/5,$0.00
1634,Butterfree,8/6 to 8/8,$0.00
1635,Butterfree,8/6 to 8/8,$0.00
1636,Butterfree,8/9 to 8/11,$0.00
1637,Butterfree,8/9 to 8/11,$0.00
1638,Butterfree,8/12 to 8/14,$0.00
1639,Butterfree,8/12 to 8/14,$0.00
1640,Butterfree,8/15 to 8/17,$0.00
1641,Butterfree,8/15 to 8/17,$0.00
1642,Butterfree,8/18 to 8/20,$0.00
1643,Butterfree,8/18 to 8/20,$0.00
1644,Butterfree,8/21 to 8/23,$0.00
1645,Butterfree,8/21 to 8/23,$0.00
1646,Butterfree,8/24 to 8/26,$0.00
1647,Butterfree,8/24 to 8/26,$0.00
1648,Butterfree,8/27 to 8/29,$0.00
1649,Butterfree,8/27 to 8/29,$0.00
1650,Butterfree,8/30 to 9/1,$0.00
1651,Butterfree,8/30 to 9/1,$0.00
1652,Butterfree,9/2 to 9/4,$0.00
1653,Butterfree,9/2 to 9/4,$0.00
1654,Butterfree,9/5 to 9/7,$0.00
1655,Butterfree,9/5 to 9/7,$0.00
1656,Butterfree,9/8 to 9/10,$0.00
1657,Butterfree,9/8 to 9/10,$0.00
1658,Butterfree,9/11 to 9/13,$0.00
1659,Butterfree,9/11 to 9/13,$0.00
1660,Butterfree,9/14 to 9/16,$0.00
1661,Butterfree,9/14 to 9/16,$0.00
1662,Butterfree,9/17 to 9/19,$0.00
1663,Butterfree,9/17 to 9/19,$0.00
1664,Butterfree,9/20 to 9/22,$0.18
1665,Butterfree,9/20 to 9/22,$0.18
1666,Butterfree,9/23 to 9/25,$0.12
1667,Butterfree,9/23 to 9/25,$0.25
1668,Butterfree,9/26 to 9/28,$0.11
1669,Butterfree,9/26 to 9/28,$0.26
1670,Butterfree,9/29 to 10/1,$0.11
1671,Butterfree,9/29 to 10/1,$0.20
1672,Butterfree,10/2 to 10/4,$0.11
1673,Butterfree,10/2 to 10/4,$0.20
1674,Butterfree,10/5 to 10/7,$0.09
1675,Butterfree,10/5 to 10/7,$0.17
1676,Butterfree,10/8 to 10/10,$0.09
1677,Butterfree,10/8 to 10/10,$0.18
1678,Butterfree,10/11 to 10/13,$0.07
1679,Butterfree,10/11 to 10/13,$0.20
1680,Caterpie - 010/165,7/16 to 7/18,$0.00
1681,Caterpie - 010/165,7/16 to 7/18,$0.00
1682,Caterpie - 010/165,7/19 to 7/21,$0.00
1683,Caterpie - 010/165,7/19 to 7/21,$0.00
1684,Caterpie - 010/165,7/22 to 7/24,$0.00
1685,Caterpie - 010/165,7/22 to 7/24,$0.00
1686,Caterpie - 010/165,7/25 to 7/27,$0.00
1687,Caterpie - 010/165,7/25 to 7/27,$0.00
1688,Caterpie - 010/165,7/28 to 7/30,$0.00
1689,Caterpie - 010/165,7/28 to 7/30,$0.00
1690,Caterpie - 010/165,7/31 to 8/2,$0.00
1691,Caterpie - 010/165,7/31 to 8/2,$0.00
1692,Caterpie - 010/165,8/3 to 8/5,$0.00
1693,Caterpie - 010/165,8/3 to 8/5,$0.00
1694,Caterpie - 010/165,8/6 to 8/8,$0.00
1695,Caterpie - 010/165,8/6 to 8/8,$0.00
1696,Caterpie - 010/165,8/9 to 8/11,$0.00
1697,Caterpie - 010/165,8/9 to 8/11,$0.00
1698,Caterpie - 010/165,8/12 to 8/14,$0.00
1699,Caterpie - 010/165,8/12 to 8/14,$0.00
1700,Caterpie - 010/165,8/15 to 8/17,$0.00
1701,Caterpie - 010/165,8/15 to 8/17,$0.00
1702,Caterpie - 010/165,8/18 to 8/20,$0.00
1703,Caterpie - 010/165,8/18 to 8/20,$0.00
1704,Caterpie - 010/165,8/21 to 8/23,$0.00
1705,Caterpie - 010/165,8/21 to 8/23,$0.00
1706,Caterpie - 010/165,8/24 to 8/26,$0.00
1707,Caterpie - 010/165,8/24 to 8/26,$0.00
1708,Caterpie - 010/165,8/27 to 8/29,$0.00
1709,Caterpie - 010/165,8/27 to 8/29,$0.00
1710,Caterpie - 010/165,8/30 to 9/1,$0.00
1711,Caterpie - 010/165,8/30 to 9/1,$0.00
1712,Caterpie - 010/165,9/2 to 9/4,$0.00
1713,Caterpie - 010/165,9/2 to 9/4,$0.00
1714,Caterpie - 010/165,9/5 to 9/7,$0.00
1715,Caterpie - 010/165,9/5 to 9/7,$0.00
1716,Caterpie - 010/165,9/8 to 9/10,$0.00
1717,Caterpie - 010/165,9/8 to 9/10,$0.00
1718,Caterpie - 010/165,9/11 to 9/13,$0.00
1719,Caterpie - 010/165,9/11 to 9/13,$0.00
1720,Caterpie - 010/165,9/14 to 9/16,$0.00
1721,Caterpie - 010/165,9/14 to 9/16,$0.00
1722,Caterpie - 010/165,9/17 to 9/19,$0.00
1723,Caterpie - 010/165,9/17 to 9/19,$0.00
1724,Caterpie - 010/165,9/20 to 9/22,$0.16
1725,Caterpie - 010/165,9/20 to 9/22,$0.13
1726,Caterpie - 010/165,9/23 to 9/25,$0.06
1727,Caterpie - 010/165,9/23 to 9/25,$0.14
1728,Caterpie - 010/165,9/26 to 9/28,$0.06
1729,Caterpie - 010/165,9/26 to 9/28,$0.22
1730,Caterpie - 010/165,9/29 to 10/1,$0.06
1731,Caterpie - 010/165,9/29 to 10/1,$0.19
1732,Caterpie - 010/165,10/2 to 10/4,$0.06
1733,Caterpie - 010/165,10/2 to 10/4,$0.19
1734,Caterpie - 010/165,10/5 to 10/7,$0.05
1735,Caterpie - 010/165,10/5 to 10/7,$0.18
1736,Caterpie - 010/165,10/8 to 10/10,$0.03
1737,Caterpie - 010/165,10/8 to 10/10,$0.19
1738,Caterpie - 010/165,10/11 to 10/13,$0.03
1739,Caterpie - 010/165,10/11 to 10/13,$0.20
1740,Caterpie - 172/165,7/16 to 7/18,$0.00
1741,Caterpie - 172/165,7/19 to 7/21,$0.00
1742,Caterpie - 172/165,7/22 to 7/24,$0.00
1743,Caterpie - 172/165,7/25 to 7/27,$0.00
1744,Caterpie - 172/165,7/28 to 7/30,$0.00
1745,Caterpie - 172/165,7/31 to 8/2,$0.00
1746,Caterpie - 172/165,8/3 to 8/5,$0.00
1747,Caterpie - 172/165,8/6 to 8/8,$0.00
1748,Caterpie - 172/165,8/9 to 8/11,$0.00
1749,Caterpie - 172/165,8/12 to 8/14,$0.00
1750,Caterpie - 172/165,8/15 to 8/17,$0.00
1751,Caterpie - 172/165,8/18 to 8/20,$0.00
1752,Caterpie - 172/165,8/21 to 8/23,$0.00
1753,Caterpie - 172/165,8/24 to 8/26,$0.00
1754,Caterpie - 172/165,8/27 to 8/29,$0.00
1755,Caterpie - 172/165,8/30 to 9/1,$0.00
1756,Caterpie - 172/165,9/2 to 9/4,$0.00
1757,Caterpie - 172/165,9/5 to 9/7,$0.00
1758,Caterpie - 172/165,9/8 to 9/10,$0.00
1759,Caterpie - 172/165,9/11 to 9/13,$0.00
1760,Caterpie - 172/165,9/14 to 9/16,$0.00
1761,Caterpie - 172/165,9/17 to 9/19,$0.00
1762,Caterpie - 172/165,9/20 to 9/22,$7.08
1763,Caterpie - 172/165,9/23 to 9/25,$5.65
1764,Caterpie - 172/165,9/26 to 9/28,$5.84
1765,Caterpie - 172/165,9/29 to 10/1,$6.02
1766,Caterpie - 172/165,10/2 to 10/4,$5.87
1767,Caterpie - 172/165,10/5 to 10/7,$5.93
1768,Caterpie - 172/165,10/8 to 10/10,$6.36
1769,Caterpie - 172/165,10/11 to 10/13,$6.83
1770,Chansey,7/16 to 7/18,$0.00
1771,Chansey,7/16 to 7/18,$0.00
1772,Chansey,7/19 to 7/21,$0.00
1773,Chansey,7/19 to 7/21,$0.00
1774,Chansey,7/22 to 7/24,$0.00
1775,Chansey,7/22 to 7/24,$0.00
1776,Chansey,7/25 to 7/27,$0.00
1777,Chansey,7/25 to 7/27,$0.00
1778,Chansey,7/28 to 7/30,$0.00
1779,Chansey,7/28 to 7/30,$0.00
1780,Chansey,7/31 to 8/2,$0.00
1781,Chansey,7/31 to 8/2,$0.00
1782,Chansey,8/3 to 8/5,$0.00
1783,Chansey,8/3 to 8/5,$0.00
1784,Chansey,8/6 to 8/8,$0.00
1785,Chansey,8/6 to 8/8,$0.00
1786,Chansey,8/9 to 8/11,$0.00
1787,Chansey,8/9 to 8/11,$0.00
1788,Chansey,8/12 to 8/14,$0.00
1789,Chansey,8/12 to 8/14,$0.00
1790,Chansey,8/15 to 8/17,$0.00
1791,Chansey,8/15 to 8/17,$0.00
1792,Chansey,8/18 to 8/20,$0.00
1793,Chansey,8/18 to 8/20,$0.00
1794,Chansey,8/21 to 8/23,$0.00
1795,Chansey,8/21 to 8/23,$0.00
1796,Chansey,8/24 to 8/26,$0.00
1797,Chansey,8/24 to 8/26,$0.00
1798,Chansey,8/27 to 8/29,$0.00
1799,Chansey,8/27 to 8/29,$0.00
1800,Chansey,8/30 to 9/1,$0.00
1801,Chansey,8/30 to 9/1,$0.00
1802,Chansey,9/2 to 9/4,$0.00
1803,Chansey,9/2 to 9/4,$0.00
1804,Chansey,9/5 to 9/7,$0.00
1805,Chansey,9/5 to 9/7,$0.00
1806,Chansey,9/8 to 9/10,$0.00
1807,Chansey,9/8 to 9/10,$0.00
1808,Chansey,9/11 to 9/13,$0.00
1809,Chansey,9/11 to 9/13,$0.00
1810,Chansey,9/14 to 9/16,$1.00
1811,Chansey,9/14 to 9/16,$0.00
1812,Chansey,9/17 to 9/19,$0.97
1813,Chansey,9/17 to 9/19,$0.00
1814,Chansey,9/20 to 9/22,$0.65
1815,Chansey,9/20 to 9/22,$0.46
1816,Chansey,9/23 to 9/25,$0.27
1817,Chansey,9/23 to 9/25,$0.43
1818,Chansey,9/26 to 9/28,$0.24
1819,Chansey,9/26 to 9/28,$0.37
1820,Chansey,9/29 to 10/1,$0.24
1821,Chansey,9/29 to 10/1,$0.48
1822,Chansey,10/2 to 10/4,$0.26
1823,Chansey,10/2 to 10/4,$0.59
1824,Chansey,10/5 to 10/7,$0.23
1825,Chansey,10/5 to 10/7,$0.58
1826,Chansey,10/8 to 10/10,$0.22
1827,Chansey,10/8 to 10/10,$0.55
1828,Chansey,10/11 to 10/13,$0.22
1829,Chansey,10/11 to 10/13,$0.56
1830,Charizard ex - 006/165,7/16 to 7/18,$0.00
1831,Charizard ex - 006/165,7/19 to 7/21,$0.00
1832,Charizard ex - 006/165,7/22 to 7/24,$0.00
1833,Charizard ex - 006/165,7/25 to 7/27,$0.00
1834,Charizard ex - 006/165,7/28 to 7/30,$0.00
1835,Charizard ex - 006/165,7/31 to 8/2,$0.00
1836,Charizard ex - 006/165,8/3 to 8/5,$0.00
1837,Charizard ex - 006/165,8/6 to 8/8,$0.00
1838,Charizard ex - 006/165,8/9 to 8/11,$0.00
1839,Charizard ex - 006/165,8/12 to 8/14,$0.00
1840,Charizard ex - 006/165,8/15 to 8/17,$0.00
1841,Charizard ex - 006/165,8/18 to 8/20,$0.00
1842,Charizard ex - 006/165,8/21 to 8/23,$0.00
1843,Charizard ex - 006/165,8/24 to 8/26,$0.00
1844,Charizard ex - 006/165,8/27 to 8/29,$0.00
1845,Charizard ex - 006/165,8/30 to 9/1,$0.00
1846,Charizard ex - 006/165,9/2 to 9/4,$0.00
1847,Charizard ex - 006/165,9/5 to 9/7,$0.00
1848,Charizard ex - 006/165,9/8 to 9/10,$0.00
1849,Charizard ex - 006/165,9/11 to 9/13,$0.00
1850,Charizard ex - 006/165,9/14 to 9/16,$0.00
1851,Charizard ex - 006/165,9/17 to 9/19,$46.23
1852,Charizard ex - 006/165,9/20 to 9/22,$15.17
1853,Charizard ex - 006/165,9/23 to 9/25,$6.65
1854,Charizard ex - 006/165,9/26 to 9/28,$7.31
1855,Charizard ex - 006/165,9/29 to 10/1,$7.11
1856,Charizard ex - 006/165,10/2 to 10/4,$6.75
1857,Charizard ex - 006/165,10/5 to 10/7,$5.75
1858,Charizard ex - 006/165,10/8 to 10/10,$6.34
1859,Charizard ex - 006/165,10/11 to 10/13,$6.44
1860,Charizard ex - 183/165,7/16 to 7/18,$0.00
1861,Charizard ex - 183/165,7/19 to 7/21,$0.00
1862,Charizard ex - 183/165,7/22 to 7/24,$0.00
1863,Charizard ex - 183/165,7/25 to 7/27,$0.00
1864,Charizard ex - 183/165,7/28 to 7/30,$0.00
1865,Charizard ex - 183/165,7/31 to 8/2,$0.00
1866,Charizard ex - 183/165,8/3 to 8/5,$0.00
1867,Charizard ex - 183/165,8/6 to 8/8,$0.00
1868,Charizard ex - 183/165,8/9 to 8/11,$0.00
1869,Charizard ex - 183/165,8/12 to 8/14,$0.00
1870,Charizard ex - 183/165,8/15 to 8/17,$0.00
1871,Charizard ex - 183/165,8/18 to 8/20,$0.00
1872,Charizard ex - 183/165,8/21 to 8/23,$0.00
1873,Charizard ex - 183/165,8/24 to 8/26,$0.00
1874,Charizard ex - 183/165,8/27 to 8/29,$0.00
1875,Charizard ex - 183/165,8/30 to 9/1,$0.00
1876,Charizard ex - 183/165,9/2 to 9/4,$0.00
1877,Charizard ex - 183/165,9/5 to 9/7,$0.00
1878,Charizard ex - 183/165,9/8 to 9/10,$0.00
1879,Charizard ex - 183/165,9/11 to 9/13,$0.00
1880,Charizard ex - 183/165,9/14 to 9/16,$0.00
1881,Charizard ex - 183/165,9/17 to 9/19,$0.00
1882,Charizard ex - 183/165,9/20 to 9/22,$40.35
1883,Charizard ex - 183/165,9/23 to 9/25,$26.84
1884,Charizard ex - 183/165,9/26 to 9/28,$29.69
1885,Charizard ex - 183/165,9/29 to 10/1,$31.47
1886,Charizard ex - 183/165,10/2 to 10/4,$29.33
1887,Charizard ex - 183/165,10/5 to 10/7,$26.21
1888,Charizard ex - 183/165,10/8 to 10/10,$28.90
1889,Charizard ex - 183/165,10/11 to 10/13,$28.70
1890,Charizard ex - 199/165,7/16 to 7/18,$0.00
1891,Charizard ex - 199/165,7/19 to 7/21,$0.00
1892,Charizard ex - 199/165,7/22 to 7/24,$0.00
1893,Charizard ex - 199/165,7/25 to 7/27,$0.00
1894,Charizard ex - 199/165,7/28 to 7/30,$0.00
1895,Charizard ex - 199/165,7/31 to 8/2,$0.00
1896,Charizard ex - 199/165,8/3 to 8/5,$0.00
1897,Charizard ex - 199/165,8/6 to 8/8,$0.00
1898,Charizard ex - 199/165,8/9 to 8/11,$0.00
1899,Charizard ex - 199/165,8/12 to 8/14,$0.00
1900,Charizard ex - 199/165,8/15 to 8/17,$0.00
1901,Charizard ex - 199/165,8/18 to 8/20,$0.00
1902,Charizard ex - 199/165,8/21 to 8/23,$0.00
1903,Charizard ex - 199/165,8/24 to 8/26,$0.00
1904,Charizard ex - 199/165,8/27 to 8/29,$0.00
1905,Charizard ex - 199/165,8/30 to 9/1,$0.00
1906,Charizard ex - 199/165,9/2 to 9/4,$0.00
1907,Charizard ex - 199/165,9/5 to 9/7,$0.00
1908,Charizard ex - 199/165,9/8 to 9/10,$0.00
1909,Charizard ex - 199/165,9/11 to 9/13,$0.00
1910,Charizard ex - 199/165,9/14 to 9/16,$0.00
1911,Charizard ex - 199/165,9/17 to 9/19,$0.00
1912,Charizard ex - 199/165,9/20 to 9/22,$128.73
1913,Charizard ex - 199/165,9/23 to 9/25,$107.06
1914,Charizard ex - 199/165,9/26 to 9/28,$121.54
1915,Charizard ex - 199/165,9/29 to 10/1,$131.02
1916,Charizard ex - 199/165,10/2 to 10/4,$120.54
1917,Charizard ex - 199/165,10/5 to 10/7,$106.74
1918,Charizard ex - 199/165,10/8 to 10/10,$117.84
1919,Charizard ex - 199/165,10/11 to 10/13,$115.11
1920,Charmander - 004/165,7/16 to 7/18,$0.00
1921,Charmander - 004/165,7/16 to 7/18,$0.00
1922,Charmander - 004/165,7/19 to 7/21,$0.00
1923,Charmander - 004/165,7/19 to 7/21,$0.00
1924,Charmander - 004/165,7/22 to 7/24,$0.00
1925,Charmander - 004/165,7/22 to 7/24,$0.00
1926,Charmander - 004/165,7/25 to 7/27,$0.00
1927,Charmander - 004/165,7/25 to 7/27,$0.00
1928,Charmander - 004/165,7/28 to 7/30,$0.00
1929,Charmander - 004/165,7/28 to 7/30,$0.00
1930,Charmander - 004/165,7/31 to 8/2,$0.00
1931,Charmander - 004/165,7/31 to 8/2,$0.00
1932,Charmander - 004/165,8/3 to 8/5,$0.00
1933,Charmander - 004/165,8/3 to 8/5,$0.00
1934,Charmander - 004/165,8/6 to 8/8,$0.00
1935,Charmander - 004/165,8/6 to 8/8,$0.00
1936,Charmander - 004/165,8/9 to 8/11,$0.00
1937,Charmander - 004/165,8/9 to 8/11,$0.00
1938,Charmander - 004/165,8/12 to 8/14,$0.00
1939,Charmander - 004/165,8/12 to 8/14,$0.00
1940,Charmander - 004/165,8/15 to 8/17,$0.00
1941,Charmander - 004/165,8/15 to 8/17,$0.00
1942,Charmander - 004/165,8/18 to 8/20,$0.00
1943,Charmander - 004/165,8/18 to 8/20,$0.00
1944,Charmander - 004/165,8/21 to 8/23,$0.00
1945,Charmander - 004/165,8/21 to 8/23,$0.00
1946,Charmander - 004/165,8/24 to 8/26,$0.00
1947,Charmander - 004/165,8/24 to 8/26,$0.00
1948,Charmander - 004/165,8/27 to 8/29,$0.00
1949,Charmander - 004/165,8/27 to 8/29,$0.00
1950,Charmander - 004/165,8/30 to 9/1,$0.00
1951,Charmander - 004/165,8/30 to 9/1,$0.00
1952,Charmander - 004/165,9/2 to 9/4,$0.00
1953,Charmander - 004/165,9/2 to 9/4,$0.00
1954,Charmander - 004/165,9/5 to 9/7,$0.00
1955,Charmander - 004/165,9/5 to 9/7,$0.00
1956,Charmander - 004/165,9/8 to 9/10,$0.00
1957,Charmander - 004/165,9/8 to 9/10,$0.00
1958,Charmander - 004/165,9/11 to 9/13,$0.00
1959,Charmander - 004/165,9/11 to 9/13,$0.00
1960,Charmander - 004/165,9/14 to 9/16,$1.00
1961,Charmander - 004/165,9/14 to 9/16,$0.00
1962,Charmander - 004/165,9/17 to 9/19,$0.99
1963,Charmander - 004/165,9/17 to 9/19,$1.96
1964,Charmander - 004/165,9/20 to 9/22,$0.56
1965,Charmander - 004/165,9/20 to 9/22,$1.15
1966,Charmander - 004/165,9/23 to 9/25,$0.39
1967,Charmander - 004/165,9/23 to 9/25,$0.90
1968,Charmander - 004/165,9/26 to 9/28,$0.36
