,Product,Date Range,Market Price
114,151 Booster Bundle,9/26 to 9/28,$41.96
115,151 Booster Bundle,9/29 to 10/1,$43.07
116,151 Booster Bundle,10/2 to 10/4,$39.25
117,151 Booster Bundle,10/5 to 10/7,$41.52
118,151 Booster Bundle,10/8 to 10/10,$43.01
119,151 Booster Bundle,10/11 to 10/13,$39.93
120,151 Booster Bundle Display,7/16 to 7/18,$0.00
121,151 Booster Bundle Display,7/19 to 7/21,$0.00
122,151 Booster Bundle Display,7/22 to 7/24,$0.00
123,151 Booster Bundle Display,7/25 to 7/27,$0.00
124,151 Booster Bundle Display,7/28 to 7/30,$0.00
125,151 Booster Bundle Display,7/31 to 8/2,$0.00
126,151 Booster Bundle Display,8/3 to 8/5,$0.00
127,151 Booster Bundle Display,8/6 to 8/8,$0.00
128,151 Booster Bundle Display,8/9 to 8/11,$0.00
129,151 Booster Bundle Display,8/12 to 8/14,$0.00
130,151 Booster Bundle Display,8/15 to 8/17,$0.00
131,151 Booster Bundle Display,8/18 to 8/20,$0.00
132,151 Booster Bundle Display,8/21 to 8/23,$399.99
133,151 Booster Bundle Display,8/24 to 8/26,$399.99
134,151 Booster Bundle Display,8/27 to 8/29,$467.74
135,151 Booster Bundle Display,8/30 to 9/1,$460.70
136,151 Booster Bundle Display,9/2 to 9/4,$473.58
137,151 Booster Bundle Display,9/5 to 9/7,$483.29
138,151 Booster Bundle Display,9/8 to 9/10,$467.70
139,151 Booster Bundle Display,9/11 to 9/13,$475.17
140,151 Booster Bundle Display,9/14 to 9/16,$513.30
141,151 Booster Bundle Display,9/17 to 9/19,$527.38
142,151 Booster Bundle Display,9/20 to 9/22,$440.99
143,151 Booster Bundle Display,9/23 to 9/25,$422.38
144,151 Booster Bundle Display,9/26 to 9/28,$439.58
145,151 Booster Bundle Display,9/29 to 10/1,$447.05
146,151 Booster Bundle Display,10/2 to 10/4,$457.02
147,151 Booster Bundle Display,10/5 to 10/7,$465.37
148,151 Booster Bundle Display,10/8 to 10/10,$467.30
149,151 Booster Bundle Display,10/11 to 10/13,$461.89
150,151 Booster Bundle Display Case,12/30 to 1/1,$0.70
151,151 Booster Bundle Display Case,12/30 to 1/1,$0.60
152,151 Booster Bundle Display Case,12/31 to 1/2,$0.90
153,151 Booster Bundle Display Case,12/31 to 1/2,$0.80
154,151 Booster Bundle Display Case,1/1 to 1/3,$1.41
155,151 Booster Bundle Display Case,1/1 to 1/3,$1.31
156,151 Booster Bundle Display Case,1/2 to 1/4,$1.55
157,151 Booster Bundle Display Case,1/2 to 1/4,$1.55
158,151 Booster Bundle Display Case,1/3 to 1/5,$1.55
159,151 Booster Bundle Display Case,1/3 to 1/5,$1.45
160,151 Booster Bundle Display Case,1/4 to 1/6,$1.55
161,151 Booster Bundle Display Case,1/4 to 1/6,$1.55
162,151 Booster Bundle Display Case,1/5 to 1/7,$1.66
163,151 Booster Bundle Display Case,1/5 to 1/7,$1.66
164,151 Booster Bundle Display Case,1/6 to 1/8,$2.90
165,151 Booster Bundle Display Case,1/6 to 1/8,$2.60
